Club,1,d4,bludgeoning
Dagger,1,d4,piercing
Greatclub,1,d8,bludgeoning
Handaxe,1,d6,slashing
Javelin,1,d6,piercing
Light hammer,1,d4,bludgeoning
Mace,1,d6,bludgeoning
Quarterstaff,1,d6,bludgeoning
Sickle,1,d4,slashing
Spear,1,d6,piercing
Battleaxe,1,d8,slashing
Dwarven Urgros Piercing,1,d8,piercing
Dwarven Urgrosh Slashing,1,d10,slashing
Elven Crescent Blade (3pp),2,d6,slashing
Flail,1,d8,bludgeoning
Glaive,1,d10,slashing
Greataxe,1,d12,slashing
Greatsword,2,d6,slashing
Halberd,1,d10,slashing
Lance,1,d12,piercing
Longsword,1,d8,slashing
Maul,2,d6,bludgeoning
Morningstar,1,d8,piercing
Pike,1,d10,piercing
Rapier,1,d8,piercing
Scimitar,1,d6,slashing
Shortsword,1,d6,piercing
Spiked Chain (3pp),1,d8,piercing
Trident,1,d6,piercing
War pick,1,d8,piercing
Warhammer,1,d8,bludgeoning
Whip,1,d4,slashing
War Scythe (3pp),1,d10,slashing
Blowgun,1,d1,piercing
"Crossbow, hand",1,d6,piercing
"Crossbow, heavy",1,d10,piercing
Great Bow (3pp),1,d8,piercing
Longbow,1,d8,piercing
,,,
